iter	Passed	Remaining
257	380	1094
258	381	1092
259	382	1089
260	383	1086
261	384	1084
262	385	1081
263	387	1079
264	388	1076
265	389	1074
266	391	1074
267	392	1072
268	393	1070
269	394	1067
270	395	1064
271	396	1062
272	397	1059
273	398	1056
274	399	1054
275	400	1051
276	401	1048
277	403	1046
278	403	1043
279	407	1047
280	408	1044
281	409	1041
282	409	1038
283	410	1035
284	411	1033
285	412	1030
286	413	1027
287	414	1024
288	415	1021
289	419	1027
290	421	1025
291	422	1024
292	423	1022
293	425	1022
294	427	1020
295	428	1019
296	430	1019
297	431	1016
298	432	1014
299	433	1012
300	434	1010
301	435	1007
302	437	1005
303	438	1003
304	439	1000
305	440	998
306	441	995
307	442	993
308	443	991
309	444	989
310	445	987
311	446	984
312	447	982
313	448	980
314	449	977
315	450	975
316	451	973
317	453	971
318	454	969
319	455	967
320	456	964
321	457	962
322	458	960
323	459	958
324	460	956
325	462	955
326	463	953
327	466	955
328	467	953
329	468	951
330	469	949
331	471	947
332	472	945
333	473	944
334	474	942
335	475	940
336	477	938
337	478	936
338	479	935
339	480	933
340	483	933
341	484	931
342	485	929
343	486	927
344	487	925
345	488	923
346	489	921
347	490	919
348	491	917
349	492	915
350	494	913
351	495	911
352	496	909
353	497	907
354	498	905
355	499	904
356	501	902
357	502	901
358	504	900
359	505	898
360	506	896
361	507	894
362	508	892
363	509	890
364	510	888
365	511	885
366	512	883
367	513	882
368	514	880
369	515	878
370	516	876
371	517	874
372	519	872
373	520	870
374	521	868
375	522	866
376	523	864
377	524	862
378	525	861
379	526	859
380	527	857
381	528	855
382	529	853
383	530	851
384	532	850
385	533	848
386	534	846
387	535	844
388	536	842
389	537	841
390	539	839
391	540	837
392	541	836
393	542	834
394	543	832
395	544	830
396	545	828
397	547	828
398	548	826
399	550	825
400	551	823
401	552	821
402	553	819
403	554	817
404	555	815
405	556	813
406	557	811
407	557	809
408	558	807
409	559	805
410	560	803
411	561	801
412	562	799
413	563	797
414	564	795
415	565	793
416	566	792
417	567	790
418	568	788
419	569	786
420	570	784
421	572	783
422	573	781
423	574	780
424	575	778
425	576	777
426	577	775
427	578	773
428	579	771
429	581	770
430	582	768
431	583	766
432	584	764
433	584	762
434	585	760
435	586	759
436	587	757
437	588	755
438	589	753
439	590	752
440	591	750
441	592	748
442	594	746
443	595	745
444	595	743
445	596	741
446	597	739
447	599	738
448	600	736
449	601	734
450	602	732
451	603	731
452	604	729
453	605	727
454	606	726
455	607	724
456	608	722
457	609	721
458	610	720
459	612	718
460	613	717
461	614	715
462	615	713
463	616	711
464	617	710
465	618	708
466	619	707
467	620	705
468	622	704
469	623	702
470	624	701
471	625	699
472	626	697
473	627	696
474	628	694
475	629	693
476	631	691
477	632	690
478	633	688
479	634	687
